a,b,relationship
武汉合康动力技术有限公司,一种基于AMT自动变速箱起步自适应的控制方法,开发
东风汽车有限公司,座垫骨架组件及汽车后排座椅,开发
武汉东方骏驰精密制造有限公司,新型抗旋转滚轮升降挺柱,开发
武汉联城一家科技发展有限公司,汽车和服务器及其安全控制方法、控制装置及存储介质,开发
中车长江车辆有限公司,一种连杆式二级锁闭装置、漏斗车底门及漏斗车,开发
武汉重型机床集团有限公司,附件铣头主轴定位结构,开发
武汉斗鱼网络科技有限公司,一种基于人脸检测的直播互动特效实现方法及系统,开发
武汉光庭信息技术股份有限公司,一种多源路网的动态融合规划方法及系统,开发
神龙汽车有限公司,具有旋转式托架的杯托结构,开发
东风汽车有限公司,车载控制触摸屏的控制方法及电子控制设备,开发
武汉锆元传感技术有限公司,一种车用汽车尾气传感器外电极保护层及制备方法,开发
武汉哪儿充科技有限公司,路灯充电桩控制系统,开发
武汉华志机器人产业技术研究院有限公司,基于远程控制终端抬升目标车辆的方法、装置及系统,开发
武汉金优特科技有限公司,一种高效率冲压加工装置,开发
东风李尔汽车座椅有限公司,一种汽车座椅冲击试验系统,开发
武汉骏嘉科技有限公司,一种刺破式HDMI连接线,开发
武汉鸿博鑫科技有限公司,易加工的汽车发动机缸体夹具,开发
武汉斗鱼网络科技有限公司,一种文本列表富媒体缩略展示方法及装置,开发
神龙汽车有限公司,一种快速紧固塑料支架,开发
武汉斗鱼网络科技有限公司,一种列表中不同样式内容混搭加载的实现方法及系统,开发
武汉中海庭数据技术有限公司,基于滑动窗二进制比对算法的导航数据增量信息提取方法,开发
武汉华工激光工程有限责任公司,一种多相机矫正和定位方法及玻璃激光切割的装置,开发
际华三五零六纺织服装有限公司,一种除尘风机出风口降噪消音装置,开发
东风汽车集团有限公司,一种发动机试漏孔口端面封堵机构,开发
东风电动车辆股份有限公司,集成控制器电驱动系统,开发
武汉东顺汽车配件有限公司,一种集成式气油水分离干燥装置,开发
武汉元光科技有限公司,确定用户乘坐的公交车辆的方法及装置,开发
易瓦特科技股份公司,基于远程服务器对灰霾源进行示警的方法、装置及系统,开发
武汉兆航精密工业有限公司,T型铣刀的制作方法,开发
东风汽车集团有限公司,一种可变压缩比的发动机机构,开发
武汉斗鱼网络科技有限公司,spark-mllib调用方法、存储介质、电子设备及系统,开发
武汉市六顺标准衡器有限公司,电子汽车衡防撞限位保护装置,开发
中铁十一局集团有限公司,一种磁浮轨排移动门吊,开发
武汉瑞松北斗汽车装备有限公司,一种顶棚自动化生产线的对中台,开发
武汉中海庭数据技术有限公司,基于激光点云的道路边界线交互式自动提取方法,开发
易瓦特科技股份公司,用于固定翼无人机的可调式旋翼动力机身结构,开发
中车长江车辆有限公司,公铁两用车车架,开发
武汉斗鱼网络科技有限公司,一种json格式日志的生成方法及装置,开发
湖北长天通信科技有限公司,一种具有纠偏装置功能的钢铝带分切系统,开发
武汉依迅北斗空间技术有限公司,一种道路清洁车的调度系统和调度方法,开发
武汉智能控制工业技术研究院有限公司,一种客车静载测试用的装置,开发
武汉斗鱼网络科技有限公司,数据显示方法及装置,开发
中国船舶重工集团应急预警与救援装备股份有限公司,一种车载式快速安装救援电梯,开发
中车长江车辆有限公司,公铁两用车,开发
南斗六星系统集成有限公司,一种基于仪表的渐变圆环显示方法、介质、仪表和装置,开发
东风汽车集团有限公司,一种转速传感器固定支架及其安装结构,开发
武汉东海敏实汽车零部件有限公司,汽车密封条丢弃材剥离机,开发
中交第二航务工程局有限公司,基于三维激光扫描的隧道监控方法,开发
东风李尔汽车座椅有限公司,汽车后排座椅的地钩锁解锁机构,开发
神龙汽车有限公司,翼子板功能面厚度快速检测工装及其检测方法,开发
武汉瑞松北斗汽车装备有限公司,用于多车型无源台车的三向无极支撑机构,开发
武汉钢铁江北集团冷弯型钢有限公司,一种高强度厚壁小断面双尖角方管成型方法,开发
武汉华工激光工程有限责任公司,一种用于激光微加工的组合透镜,开发
中铁科工集团有限公司,一种共振破碎机用平行连杆转向机构,开发
武汉市恒通诚汽车零部件有限公司,外星轮加工工装,开发
武汉斗鱼网络科技有限公司,后置位页面引流方法、存储介质、电子设备及系统,开发
武汉凡谷电子技术股份有限公司,一种混合腔及混合模组成的改善谐波的滤波器,开发
武汉联航机电有限公司,一种定位夹爪的加工方法,开发
武汉凯沃森天窗系统有限公司,一种汽车天窗起翘机构,开发
东风富士汤姆森调温器有限公司,缓速器冷却系统,开发
武汉元丰汽车零部件有限公司,带有轴承限位结构的气压盘式制动器压力臂,开发
武汉欣远拓尔科技有限公司,一种智能焊接方法、系统、装置及存储介质,开发
神龙汽车有限公司,一种斜楔式预延伸拉延模,开发
武汉佳特轿车零部件有限公司,用于汽车尾门的电动开闭系统,开发
东风汽车集团有限公司,一种用于曲轴箱通气管的诊断加热装置、通气管、通风系统和汽车,开发
凌云科技集团有限责任公司,组合传动发电机整流二极管的检测设备及检测方法,开发
东风汽车集团有限公司,一种用于车身侧围输送的定位传导装置及其使用方法,开发
武汉元光科技有限公司,一种顺风车搭乘撮合方法及装置,开发
武汉重型机床集团有限公司,多叶片转轮曲面的三轴联动加工方法,开发
武汉理工通宇新源动力有限公司,一种电机驱动液压离合器及汽车,开发
武汉斗鱼网络科技有限公司,IOS系统中长连接网络数据分发及处理方法和系统,开发
东风汽车有限公司,汽车前端吸能块,开发
武汉理工通宇新源动力有限公司,用于混合动力电动汽车自动离合器执行机构及其控制方法,开发
中交第二航务工程局有限公司,一种止水带水密试验方法,开发
武汉斗鱼网络科技有限公司,一种数据渲染方法及数据渲染系统,开发
武汉齐达康能源装备有限公司,一种带有丝网除沫器的气液混输增压装置及方法,开发
中车长江车辆有限公司,基于承载鞍定位的脱轨检测装置及其检测方法,开发
武汉斗鱼网络科技有限公司,房间关闭状态下利用超管实现视频流监控的方法及系统,开发
东风汽车集团有限公司,汽车发动机冷却系统及其控制方法,开发
武汉烽火信息集成技术有限公司,一种基于大数据平台的端到端业务质量优化装置及方法,开发
中车长江车辆有限公司,一种底门装置及铁路漏斗车,开发
中车长江车辆有限公司,一种车辆、车辆控制方法及系统,开发
神龙汽车有限公司,机罩功能面厚度快速检测工装及其检测方法,开发
武汉斗鱼网络科技有限公司,软件程序的校验保护方法及系统,开发
湖北雷迪特冷却系统股份有限公司,一种车用燃料电池热管理系统,开发
湖北吉兴汽车部件有限公司,一种汽车零部件生产所需烘箱,开发
中车长江车辆有限公司,一种双层结构铁路罐车的罐体套装工艺方法,开发
神龙汽车有限公司,一种快速测量回转体零件端面销孔位置度的方法,开发
湖北机电院装备制造有限责任公司,一种高压电池装配设备,开发
易瓦特科技股份公司,一种校准的方法和装置,开发
武汉斗鱼网络科技有限公司,基于Git的Android崩溃日志优化方法及系统,开发
中建三局安装工程有限公司,一种通过式钢管外壁除锈装置及其使用方法,开发
武汉理工通宇新源动力有限公司,一种USB串口智能通信系统及USB串口通信监视方法,开发
中交第二航务工程局有限公司,基于毫米波雷达的隧道变形实时监测方法,开发
易瓦特科技股份公司,旋翼机传动装置,开发
武汉鸿博鑫科技有限公司,汽车夹具用定位机构,开发
武汉磐电科技股份有限公司,一种抗干扰1000kV特高压电压互感器车载校验平台及其校验方法,开发
武汉松芝车用空调有限公司,客车空调一体化健康监测系统及监测方法,开发
武汉高德红外股份有限公司,整体式斯特林制冷机,开发
武汉富国发动机科技有限公司,优化的节能内燃机,开发
武汉英泰斯特电子技术有限公司,一种车辆ECU文件安全刷写方法及系统,开发
武汉联航机电有限公司,卡紧环自动夹紧装置,开发
武汉斗鱼网络科技有限公司,基于时间轮盘和用户行为的活跃用户集维护系统及方法,开发
武汉斗鱼网络科技有限公司,一种视频尺寸自动优化方法及系统,开发
湖北三环智能科技有限公司,一种无人驾驶车辆电控液压制动系统及其控制方法,开发
中交第二航务工程局有限公司,一种模拟箱梁在斜拉索支撑状态的方法,开发
武汉地质资源环境工业技术研究院有限公司,一种型材内置螺母的安装设备及安装方法,开发
武汉斗鱼网络科技有限公司,弹幕信息处理方法和装置,开发
中铁科工集团轨道交通装备有限公司,一种腰型深孔加工方法及制备得到的注浆块,开发
中铁科工集团轨道交通装备有限公司,一种用于双管高压旋喷工艺的钻具,开发
武汉斗鱼网络科技有限公司,基于插桩方式快速屏蔽客户端故障的方法及系统,开发
武汉锐科控制系统有限公司,一种可配置化及可扩展的汽车诊断系统及诊断方法,开发
武汉中原电子集团有限公司,一种激光扫描式散状物料流量检测及分布误差消除方法,开发
武汉华工激光工程有限责任公司,一种调整钢硬度的激光复合处理工艺,开发
中车长江车辆有限公司,一种利用四芯卷圆机的大锥度罐体卷圆成形工艺,开发
武汉斗鱼网络科技有限公司,文件检测方法、装置和系统,开发
中车长江车辆有限公司,油箱内置的保温集装箱,开发
武汉依迅北斗空间技术有限公司,一种工程车辆的冲洗系统及方法,开发
武汉思普崚技术有限公司,一种防火墙的策略配置方法和装置,开发
东风汽车有限公司,一种汽车轮辋自动贴膜机,开发
武汉中海庭数据技术有限公司,一种基于曲率进行形点优化的方法及系统,开发
武汉杜曼智能科技有限公司,电动车辆反向充电弓在线充电装置的定位系统及调整方法,开发
中车长江车辆有限公司,一种底门间隙调整机构及漏斗车,开发
武汉重型机床集团有限公司,一种主轴静压导轨断电保护方法,开发
易瓦特科技股份公司,具有动平衡系统的柔性排气通道,开发
武汉华中数控股份有限公司,一种基于无功功率的感应电机转子磁场相位在线校正方法,开发
东风博泽汽车系统有限公司,一种电机转子铁芯自动预折弯装置及折弯方法,开发
东风汽车集团有限公司,一种汽车试验数据采集设备的固定装置及其固定系统,开发
武汉重型机床集团有限公司,万能分度角铣头中铣头体和旋转体加工方法,开发
武汉英康汇通电气有限公司,一种运用在空气轴承中的弹性支承件及空气轴承,开发
武汉斗鱼网络科技有限公司,一种单选按钮设置、点击响应方法及装置,开发
武汉合康动力技术有限公司,一种基于AMT并联式混合动力车系统的换档方法、装置及车辆,开发
武汉斗鱼网络科技有限公司,异常信息处理方法及装置,开发
武汉斗鱼网络科技有限公司,具备视角切换功能的720度全景播放器的实现方法及系统,开发
中车长江车辆有限公司,一种带内孔的大型高强度冲压件的加工方法,开发
武汉英弗耐斯电子科技有限公司,一种适用于IGBT驱动芯片的过热保护电路,开发
武汉华工激光工程有限责任公司,一种球磨铸铁表面激光修复方法,开发
武汉极目信息技术有限公司,一种汽车转向灯状态检测装置,开发
神龙汽车有限公司,智能化快速车门铰链压装机,开发
武汉瑞松北斗汽车装备有限公司,汽车轮罩柔性自动化焊接生产线及其生产方法,开发
武汉斗鱼网络科技有限公司,一种基于视频剪切与弹幕的匹配方法及装置,开发
武汉斗鱼网络科技有限公司,一种利用协议描述文件自动生成通信代码的方法及系统,开发
武汉天顺汽车零部件有限公司,一种汽车扶手骨架自动连续成型模具,开发
中交第二航务工程局有限公司,基于三维激光扫描仪提取螺栓孔特征数据的方法,开发
武汉华工激光工程有限责任公司,一种光纤激光焊接紫铜厚板的方法,开发
东风汽车集团有限公司,纯电动汽车用可拓展电源快换系统及方法,开发
神龙汽车有限公司,一种实现夜间行车安全监控的摄像头系统及方法,开发
湖北芯擎科技有限公司,调试处理方法、装置与调试处理系统,开发
武汉斑马快跑科技有限公司,顺风车的拼车方法和系统,开发
武汉斗鱼网络科技有限公司,一种方案测试的方法及服务器,开发
武汉中海庭数据技术有限公司,一种交通信息模拟采集方法及装置,开发
中交第二航务工程局有限公司,一种U肋内侧焊缝返修方法,开发
武汉华工激光工程有限责任公司,用于陶瓷激光切割的吸收剂及其制备方法,开发
东风汽车集团有限公司,新能源车动力电池管理系统硬件在环测试平台及测试方法,开发
东风汽车集团有限公司,汽油增压发动机废气再循环系统装置,开发
中车长江车辆有限公司,一种平车车体,开发
中车长江车辆有限公司,一种焊接方法,开发
神龙汽车有限公司,一种保证啮合性能的可开启打紧式背门锁扣及装配方法,开发
武汉思普崚技术有限公司,三维场景中物体的组件信息显示方法及设备,开发
神龙汽车有限公司,一种用于检测车门通过性的锁扣检具,开发
武汉协和齿环有限公司,一种齿环冲切模具和方法,开发
武汉瑞松北斗汽车装备有限公司,一种汽车自动生产线辅助螺钉安装机构,开发
武汉华中数控股份有限公司,一种实现工业控制上位机对下位机进行控制的方法,开发
武汉神骏专用汽车制造股份有限公司,一种半挂车转向装置,开发
武汉中原电子集团有限公司,一种受电弓充电控制装置及控制方法,开发
中车长江车辆有限公司,一种轴承轴向游隙测量装置,开发
中车长江车辆有限公司,一种适用集装箱吊具试验检测装置及方法,开发
武汉合康动力技术有限公司,一种基于AMT变速箱提高起步平顺性的控制方法,开发
武汉英康汇通电气有限公司,一种混合储能系统电动车的电量控制装置以及控制方法,开发
武汉华工激光工程有限责任公司,一种多头激光无序毛化轧辊表面的加工方法和加工设备,开发
湖北机电院装备制造有限责任公司,一种汽车后桥减震弹簧自动压装设备,开发
武汉华工激光工程有限责任公司,一种动力电池外壳的激光焊接方法,开发
中铁工程机械研究设计院有限公司,一种模块化门式多功能凿岩台车用作业平台及方法,开发
武汉斗鱼网络科技有限公司,一种基于GPU的视频渲染方法和系统,开发
武汉斗鱼网络科技有限公司,一种GPU任务完成状态的判断方法及装置,开发
中车长江车辆有限公司,一种货物装载器件的运输车,开发
武汉斗鱼网络科技有限公司,图像采集过程中实现自适应屏幕旋转的方法及系统,开发
武汉斗鱼网络科技有限公司,基于弹幕顺序的弹幕分发方法、装置、设备和存储介质,开发
东风汽车集团有限公司,直线电机式电磁主动悬架的能量输出控制方法,开发
东风汽车集团有限公司,一种用于汽车侧围整形的压料机构,开发
武汉斗鱼网络科技有限公司,消息处理方法、装置及可读存储介质,开发
中交第二航务工程局有限公司,超小始发井盾构分体始发施工方法,开发
武汉佳特轿车零部件有限公司,一种用于汽车尾门的电动开闭系统,开发
中车长江车辆有限公司,一种贴严装置及侧顶件,开发
东风汽车集团有限公司,一种发动机进气电子泄压阀的失效监测系统及方法,开发
中交第二航务工程局有限公司,立式预制装配式箱涵辅助翻身装置,开发
东风汽车集团有限公司,一种可变压缩比发动机的缸体缸盖与顶盖组件,开发
武汉斗鱼网络科技有限公司,iOS中加载GIF动画的方法及装置,开发
武汉斗鱼网络科技有限公司,一种第三方多媒体的推广方法及装置,开发
中车长江车辆有限公司,用于漏斗车的内置式上侧梁与隔板和侧墙的连接结构,开发
湖北九州云仓科技发展有限公司,一种用于穿梭车的提升机,开发
武汉华中数控股份有限公司,一种双端面端盖的一次装夹加工方法,开发
武汉斑马快跑科技有限公司,基于增强现实体感技术的快速约车方法及系统,开发
武汉里得电力科技股份有限公司,自动动态监测数字式接输电线,开发
东风电动车辆股份有限公司,汽车发动机ECU软件自动灌装方法,开发
中车长江车辆有限公司,一种漏斗车,开发
武汉锆元传感技术有限公司,氧化锆基电化学NOx传感器芯片狭缝的填充浆料及制作方法,开发
武汉宏升鑫汽车部件有限公司,一种单点压力机,开发
武汉中人瑞众汽车零部件产业有限公司,一种汽车零部件检验装置,开发
武汉邦维文化发展有限公司,一种裁剪刀具、纸质拼图的生产工艺和纸质拼图,开发
武汉斑马快跑科技有限公司,近距离蓝牙热点定位的快速约车方法及系统,开发
武汉海达数云技术有限公司,激光测距中回波信号接收装置,开发
山推楚天工程机械有限公司,一种新型输送缸活塞限位机构,开发
武汉协和齿环有限公司,同步器齿环夹具、车加工卡盘装置及车加工设备,开发
东风马勒热系统有限公司,一种汽车空调总成,开发
中铁科工集团有限公司,深孔加工方法及制备得到的注浆块,开发
武汉鑫美龙新能源汽车服务有限公司,具有冷凝器功能的可控散热储水箱和热泵空气能系统及控制方法,开发
武汉华工激光工程有限责任公司,一种长极细同轴线剥线装置和方法,开发
武汉斗鱼网络科技有限公司,直播间内容标签提取方法、存储介质、电子设备及系统,开发
武汉瑞松北斗汽车装备有限公司,一种汽车板件间接柔性焊接平台,开发
武汉德恒汽车装备有限公司,一种联动压紧机构,开发
东风汽车集团有限公司,双轴多滚轮摇臂式可变气门升程机构,开发
东风汽车集团有限公司,智能嵌入式低温冷起动控制系统,开发
东风汽车集团有限公司,一种可改善发动机冷起动性能的气缸盖水套结构及发动机冷却系统,开发
武汉中海庭数据技术有限公司,基于路口模型的自动行驶方法及装置,开发
易瓦特科技股份公司,应用于激光测距的推力组件,开发
武汉神骏专用汽车制造股份有限公司,增大连接凹台承载量的组合式液压半挂车,开发
武汉克诺德智能科技有限公司,一种基于中轴线的航空叶片型面特征参数提取方法,开发
易瓦特科技股份公司,无人机发动机散热机构,开发
东风汽车集团有限公司,一种轻量化的汽车后侧围加强板总成及后侧围加强结构,开发
武汉英康汇通电气有限公司,一种增程式电动车的双电压储能系统,开发
武汉斗鱼网络科技有限公司,一种应用中的组件检测方法和装置,开发
武汉华中数控股份有限公司,DC/DC双向逆变电路及其控制方法,开发
中车长江车辆有限公司,一种锁钩式漏斗车底门二级锁闭装置及漏斗车,开发
武汉依迅北斗空间技术有限公司,一种工程车辆的清洗系统和方法,开发
武汉斗鱼网络科技有限公司,一种信息搜索中关键词淘汰方法及装置,开发
东风汽车集团有限公司,一种集成中央充放气的电动轮毂,开发
湖北微驾技术有限公司,一种基于人头计数的驾驶培训管理方法,开发
武汉元光科技有限公司,确定车辆运营线路的方法和装置,开发
中车长江车辆有限公司,底门开闭机构,开发
东风汽车集团有限公司,一种高精度磨床双联涨紧自定心机构夹具及其磨床,开发
武汉元光科技有限公司,公交站点位置获取方法及装置,开发
武汉华工激光工程有限责任公司,IMD成型塑胶的激光打孔方法以及激光打孔装置,开发
武汉海达数云技术有限公司,基于角度和强度的车载激光点云噪点自动去除方法,开发
武汉斗鱼网络科技有限公司,一种获取应用卡顿信息的方法及装置,开发
中车长江车辆有限公司,带手制动装置的单元制动缸,开发
东风汽车集团有限公司,动力总成抗扭悬置结构,开发
武汉海达数云技术有限公司,一种基于控制点的移动测量系统POS精度改善方法,开发
东风汽车集团有限公司,一种重力感应式的三通单向阀,开发
武汉斗鱼网络科技有限公司,一种弹幕移动速度获取方法及装置,开发
武汉盛帆电子股份有限公司,过压保护电路、方法及电子设备,开发
湖北兆元科技有限公司,光器件波峰焊接夹具及其焊接方法,开发
中车长江车辆有限公司,一种环缝清根装置、清根机构及清根方法,开发
武汉斗鱼网络科技有限公司,一种焦点越界搜索方法及装置,开发
中车长江车辆有限公司,用于漏斗车的侧墙、漏斗脊与中梁的连接结构,开发
中车长江车辆有限公司,一种曲面盖板的组焊装置及方法,开发
东风汽车集团有限公司,一种车载手机固定及监测装置,开发
易瓦特科技股份公司,无人机发动机散热机构,开发
中交第二航务工程局有限公司,一种大跨度、超高扭曲体匹配箱梁预制钢模板系统,开发
武汉依迅北斗空间技术有限公司,一种渣土车的路径选择系统和路径选择方法,开发
武汉钢铁江北集团冷弯型钢有限公司,Z形冷弯型钢的滚弯成型方法,开发
东风汽车有限公司,吸能盒,开发
武汉盛帆电子股份有限公司,一种电子元件用电路板切割装置,开发
东风汽车集团有限公司,一种滑移止位结构,开发
中交第二航务工程局有限公司,预制检修道安装方法,开发
武汉东测科技有限责任公司,一种车用催化转化器试验热空气供给装置及方法,开发
武汉华中数控股份有限公司,一种电机加工性能指标的监测系统及方法,开发
神龙汽车有限公司,一种举升弹簧外置式汽车发动机盖主锁,开发
中车长江车辆有限公司,用于漏斗车的端墙强化结构,开发
东风李尔汽车座椅有限公司,一种汽车座椅的滑轨锁定解锁装置,开发
武汉斑马快跑科技有限公司,一种参数校验方法及装置,开发
武汉磐电科技股份有限公司,特高压电压互感器分离式校验平台及其安装校验方法,开发
武汉洛特福动力技术有限公司,大流量多柱塞永磁计量泵,开发
东风汽车集团有限公司,一种坡度自适应柴油发动机供油系统,开发
东风汽车集团有限公司,一种限扭减震器,开发
武汉斗鱼网络科技有限公司,分布式数据同步路由选择方法、存储介质、设备及系统,开发
武汉斗鱼网络科技有限公司,Shader文件的加密方法、装置及解密方法、装置,开发
神龙汽车有限公司,一种实现百分表测量间隙面差的检具结构及测量方法,开发
东风汽车有限公司,一种用于汽车排气管的隔热铝板,开发
武汉中原电子集团有限公司,一种反激式电源的限压限流控制装置,开发
武汉凡谷电子技术股份有限公司,一种防开裂的介质谐振器及其制造方法,开发
三川德青科技有限公司,一种集疏通吸污及污水循环利用一体化环卫车辆,开发
东风汽车集团有限公司,压差模拟装置和连接结构,开发
东风汽车集团有限公司,一种自动识别小型障碍物并制动的驾驶辅助系统及控制方法,开发
东风李尔汽车座椅有限公司,具有调角功能的座椅腿托,开发
武汉海达数云技术有限公司,一种激光测距仪校正方法,开发
东风汽车集团有限公司,一种选档防错系统及方法,开发
武汉联航机电有限公司,用于传动轴喷粉粘合度测试的刻划装置,开发
武汉斗鱼网络科技有限公司,一种防盗播视频播放器与服务器及系统,开发
易瓦特科技股份公司,金手指的固定连接装置,开发
武汉斗鱼网络科技有限公司,一种相似度度量方法、装置、设备及存储介质,开发
武汉斗鱼网络科技有限公司,目标应用程序的宿主环境识别方法、装置、介质及设备,开发
武汉昌世筑养路设备有限公司,免加温沥青出油阀,开发
